facility_id,name,type,district,state,state_code,beds,lat,lon,specialties,offers_surgery,annual_surgeries,website_url,match_confidence
b8a5401f-42f1-422a-8cd9-686a15b4cb76,Aravind Eye Hospital,Private Hospital,Hyderabad,Telangana,TG,650,11.93823528289795,79.48544311523438,ophthalmology | internalMedicine | anesthesia | burnAndTraumaPlasticSurgery | otolaryngology | gynecologyAndObstetrics | neonatologyPerinatalMedicine | neurosurgery | orthopedicSurgery | pediatrics | pediatricSurgery | physicalMedicineAndRehabilitation | pulmonology | dermatology | generalSurgery | radiology | familyPlanningAndComplexContraception | infectiousDiseases | pathology | emergencyMedicine,true,null,aravind.org,1.00
06d5fb63-b2f1-4001-9c7c-a9fea7241dc3,"Fortis Hospital, Gurugram",Private Hospital,Gurgaon,Haryana,HR,1000,28.457260131835938,77.07261657714844,internalMedicine | neurology | gynecologicalOncology | emergencyMedicine | criticalCareMedicine | underseaAndHyperbaricMedicine | emergencyPreparednessAndDisasterResponse | pediatricEmergencyMedicine | hospiceAndPalliativeInternalMedicine | orthopedicSurgery | pediatricOrthopedicSurgery | cardiology | neurosurgery | jointReconstructionSurgery | orthopedicOncology | medicalOncology | infectiousDiseases | anesthesiology | pathology | surgicalOncology | plasticSurgery | reconstructivePlasticSurgery | craniofacialAndCleftOralMaxillofacialSurgery | handOrUpperExtremitiesAndPeripheralNerveSurgery | burnAndTraumaPlasticSurgery | spineNeurosurgery | shoulderAndElbowOrthopedicSurgery | peripheralNerveNeurosurgery,true,null,fortishealthcare.com,1.00
29b6dbe0-f471-4650-a488-10906b6ac873,Fortis Hospital Anandapur,Private Hospital,Kolkata,West Bengal,WB,437,22.532804489135742,88.33040618896484,internalMedicine | medicalOncology | generalSurgery | emergencyMedicine | maternalFetalMedicineOrPerinatology | radiology | cardiothoracicSurgery | gynecologicOncology | pathology | pulmonology | pediatrics | neuropsychiatry | gastroenterology | ophthalmology | otolaryngology | gynecologyAndObstetrics | urology,true,null,tmckolkata.com,0.70
3ac5ae50-9ce2-4de3-a13c-d95a4ef218ee,Wockhardt Hospital Nagpur,Private Hospital,Nagpur,Maharashtra,MH,350,19.162071228027344,72.94196319580078,internalMedicine | cardiacSurgery | interventionalCardiology | nonInvasiveCardiology | paediatricCardiacSciences | vascularSurgery | otolaryngology | oralAndMaxillofacialSurgery | generalSurgery | breastSurgery | infertilityMedicine | gastroenterologyAndHepatobiliarySciences | liverTransplantAndHepatobiliarySciences | nephrology | infectiousDiseases | pediatrics | foetalMedicine | obstetricsAndGynaecology | paediatricOncology | paediatricHaematologyAndBMT | paediatricNephrology | paediatricPulmonology | paediatricNeurology | paediatricSurgery | sleepMedicine | painAndPalliativeMedicine | anesthesia | emergencyMedicine | dermatology | pediatricDermatology | pediatricOncology | ophthalmology | corneaOphthalmology | cataractAndAnteriorSegmentSurgery | glaucomaOphthalmology | retinaAndVitreoretinalOphthalmology | oculoplasticsAndReconstructiveOrbitalSurgery | headAndNeckSurgeryOtolaryngology | organTransplant | heartTransplant,true,null,fortishealthcare.com,0.60
59b6c976-2d44-4705-bcff-a83605983487,"RAM HOSPITAL & RESEARCH CENTRE, KANPUR",Clinic / Centre,Kanpur,Uttar Pradesh,UP,102,28.696605682373047,77.60749816894531,internalMedicine | orthopedicSurgery | infectiousDiseases | cardiology | otolaryngology | neurosurgery | urology | gynecologyAndObstetrics | ophthalmology | plasticSurgery | gastroenterology | nephrology | surgicalOncology | generalSurgery | pediatrics | dentistry | emergencyMedicine | criticalCareMedicine | endocrinologyAndDiabetesAndMetabolism | skullBaseNeurosurgery | brainInjuryNeurology | hematology | familyMedicine,true,null,ramahospital.com,0.90
77a4e680-bf90-4cd0-b4b5-32bcdd7cf61c,HCG Manavata Cancer Centre,Clinic / Centre,Nashik,Maharashtra,MH,275,21.105018615722656,79.10183715820312,neurosurgery | medicalOncology | surgicalOncology | radiotherapy | urology | gastroenterology | gastrointestinalSurgery | plasticSurgery | internalMedicine | familyMedicine | radiology | nuclearMedicineAndMolecularImaging | diagnosticRadiology | interventionalRadiology | transplantSurgery | hepatopancreatobiliarySurgery | oralAndMaxillofacialSurgery | orthopaedicOncology | paediatricHematologyOncology | paediatricOncology | painPalliative | psychoOncology | radiationOncology | reconstructiveSurgery | roboticSurgery | gynecologyAndObstetrics | infectiousDiseases | urologicOncology,true,null,manavatacancercentre.com,0.90
88c2565a-8801-4899-9745-6070316eb745,Rajarajeswari Medical College and Hospital,Medical College Hospital,Bengaluru,Karnataka,KA,950,13.067241668701172,77.77754974365234,cardiology | plasticSurgery | orthopedicSurgery | pediatricSurgery | endocrinologyAndDiabetesAndMetabolism | neurology | nephrology | pediatricNeurosurgery | internalMedicine | spineNeurosurgery | neurosurgery | dentistry | oralMedicine | radiology | oralAndMaxillofacialSurgery | endodontics | orthodontics | periodontology | pediatricDentistry | implantology | orofacialPain | publicHealth | oralMedicineAndRadiology | periodontics | prosthodontics | pathology | skullBaseNeurosurgery | craniomaxillofacialTraumaSurgery | headAndNeckSurgeryOtolaryngology,true,null,rrmch.org,0.60
8b4d0b3f-896c-4010-8b7e-b5ebd781fb29,"Medanta The Medicity, Gurgaon, Haryana",Private Hospital,Gurgaon,Haryana,HR,1391,28.40803337097168,76.9637451171875,cardiacSurgery | internalMedicine | medicalOncology | surgicalOncology | breastSurgery | headAndNeckSurgeryOtolaryngology | hepatopancreatobiliarySurgery | upperGIAndForegutSurgery | colorectalSurgery | gastroenterology | cardiothoracicSurgery | gynecologicalOncology | pediatricNeurosurgery | spineNeurosurgery | neurosurgery | gynecologyAndObstetrics | neurology | orthopedicSurgery | urology | cardiology | plasticSurgery | transplantSurgery | pediatricHematologyOncology | ophthalmology | pediatrics | sleepMedicine | neuroimmunology,true,null,medanta.org,0.90
d9bc3999-4523-4969-aac0-abd6bc415f2e,Sumitra Hospital,Private Hospital,Noida,Uttar Pradesh,UP,100,28.580974578857422,77.35348510742188,internalMedicine | cardiology | neurology | oncology | orthopedicSurgery | gastroenterology | urology | neurosurgery | transplantSurgery | nephrology | gynecologyAndObstetrics | pediatrics | reproductiveEndocrinologyAndInfertility | dentistry | pediatricDentistry | oralAndMaxillofacialSurgery | endodontics | periodontics | orthodontics | prosthodontics | aestheticDentistry | generalSurgery | bariatricSurgery | endocrinologyAndDiabetesAndMetabolism | hepatopancreatobiliarySurgery | colorectalSurgery | plasticSurgery | ophthalmology | otolaryngology | criticalCareMedicine | anesthesia,true,null,sumitrahospital.com,0.75
e0fcd8ad-b818-4cef-975d-afdfd2e6d413,"Government Medical College, Thiruvananthapuram",Medical College Hospital,Thiruvananthapuram,Kerala,KL,1500,9.408109664916992,76.34742736816406,pediatrics | neurosurgery | ophthalmology | dermatology | radiology | pathology | urology | gynecologyAndObstetrics | emergencyMedicine | internalMedicine | generalSurgery | medicalOncology | physicalMedicineAndRehabilitation | publicHealth | neonatologyPerinatalMedicine | pediatricCardiology | childNeurology | pediatricNephrology | pediatricGastroenterology | pediatricSurgery | developmental–behavioralPediatrics | maternalFetalMedicineOrPerinatology | pediatricNeurology | reproductiveEndocrinologyAndInfertility | cardiology | cardiacSurgery | neurology,true,null,jmmcri.org,0.60
ec1297c6-8d79-4944-bbd2-7e319f7a86f6,"Jupiter Hospital, Thane",Private Hospital,Thane,Maharashtra,MH,377,18.559816360473633,73.78486633300781,pulmonology | sleepMedicine | internalMedicine | medicalOncology | hematology | transplantSurgery | endocrinologyAndDiabetesAndMetabolism | infectiousDiseases | dermatology | plasticSurgery | colorectalSurgery | generalSurgery | gynecologyAndObstetrics | otolaryngology | urology | ophthalmology | reproductiveEndocrinologyAndInfertility | dentistry | vascularSurgery | jointReconstructionSurgery,true,null,jupiterhospital.com,0.80
